"Name","SubName","Region","Service","Subnets"
"ActionGroup",,"","ActionGroup","13.66.60.119/32"
"ActionGroup",,"","ActionGroup","13.66.143.220/30"
"ActionGroup",,"","ActionGroup","13.66.202.14/32"
"ActionGroup",,"","ActionGroup","13.66.248.225/32"
"ActionGroup",,"","ActionGroup","13.66.249.211/32"
"ActionGroup",,"","ActionGroup","13.67.10.124/30"
"ActionGroup",,"","ActionGroup","13.69.109.132/30"
"ActionGroup",,"","ActionGroup","13.71.199.112/30"
"ActionGroup",,"","ActionGroup","13.77.53.216/30"
"ActionGroup",,"","ActionGroup","13.77.172.102/32"
"ActionGroup",,"","ActionGroup","13.77.183.209/32"
"ActionGroup",,"","ActionGroup","13.78.109.156/30"
"ActionGroup",,"","ActionGroup","13.84.49.247/32"
"ActionGroup",,"","ActionGroup","13.84.51.172/32"
"ActionGroup",,"","ActionGroup","13.84.52.58/32"
"ActionGroup",,"","ActionGroup","13.86.221.220/30"
"ActionGroup",,"","ActionGroup","13.106.38.142/32"
"ActionGroup",,"","ActionGroup","13.106.38.148/32"
"ActionGroup",,"","ActionGroup","13.106.54.3/32"
"ActionGroup",,"","ActionGroup","13.106.54.19/32"
"ActionGroup",,"","ActionGroup","13.106.57.181/32"
"ActionGroup",,"","ActionGroup","13.106.57.196/31"
"ActionGroup",,"","ActionGroup","20.38.149.132/30"
"ActionGroup",,"","ActionGroup","20.42.64.36/30"
"ActionGroup",,"","ActionGroup","20.43.121.124/30"
"ActionGroup",,"","ActionGroup","20.44.17.220/30"
"ActionGroup",,"","ActionGroup","20.45.123.236/30"
"ActionGroup",,"","ActionGroup","20.72.27.152/30"
"ActionGroup",,"","ActionGroup","20.150.172.228/30"
"ActionGroup",,"","ActionGroup","20.192.238.124/30"
"ActionGroup",,"","ActionGroup","20.193.202.4/30"
"ActionGroup",,"","ActionGroup","40.68.195.137/32"
"ActionGroup",,"","ActionGroup","40.68.201.58/32"
"ActionGroup",,"","ActionGroup","40.68.201.65/32"
"ActionGroup",,"","ActionGroup","40.68.201.206/32"
"ActionGroup",,"","ActionGroup","40.68.201.211/32"
"ActionGroup",,"","ActionGroup","40.68.204.18/32"
"ActionGroup",,"","ActionGroup","40.115.37.106/32"
"ActionGroup",,"","ActionGroup","40.121.219.215/32"
"ActionGroup",,"","ActionGroup","40.121.221.62/32"
"ActionGroup",,"","ActionGroup","40.121.222.201/32"
"ActionGroup",,"","ActionGroup","40.121.223.186/32"
"ActionGroup",,"","ActionGroup","51.12.101.172/30"
"ActionGroup",,"","ActionGroup","51.12.204.244/30"
"ActionGroup",,"","ActionGroup","51.104.9.100/30"
"ActionGroup",,"","ActionGroup","52.183.20.244/32"
"ActionGroup",,"","ActionGroup","52.183.31.0/32"
"ActionGroup",,"","ActionGroup","52.183.94.59/32"
"ActionGroup",,"","ActionGroup","52.184.145.166/32"
"ActionGroup",,"","ActionGroup","191.233.50.4/30"
"ActionGroup",,"","ActionGroup","191.233.207.64/26"
"ActionGroup",,"","ActionGroup","2603:1000:4:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1000:104:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1010:6:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1010:101:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1010:304:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1010:404:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1020:5:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1020:206:402::178/125"
"ActionGroup",,"","ActionGroup","2603:1020:305:402::178/125"
